Date,Low,Median,High
2024-03-16 00:00:00-04:00,848.576806640625,897.2406921386719,931.8669250488281
2024-03-17 00:00:00-04:00,850.2145202636718,894.9010620117188,934.2065795898437
2024-03-18 00:00:00-04:00,829.8598754882812,892.5614624023438,951.9876037597656
2024-03-19 00:00:00-04:00,807.8675231933594,889.0520324707031,929.2933715820313
2024-03-20 00:00:00-04:00,782.3658264160156,886.7124328613281,967.1950561523438
2024-03-21 00:00:00-04:00,794.7657409667969,891.3916625976562,984.5081665039063
2024-03-22 00:00:00-04:00,777.9205871582031,887.8822326660156,980.7647644042969
2024-03-23 00:00:00-04:00,764.3508483886719,871.5049743652344,974.9157592773438
2024-03-24 00:00:00-04:00,761.3093505859375,863.3163452148438,960.4101928710938
2024-03-25 00:00:00-04:00,747.2715942382813,849.2786865234375,993.3986572265626
2024-03-26 00:00:00-04:00,757.5659362792969,865.6559448242188,1008.6061645507813
2024-03-27 00:00:00-04:00,795.2336669921875,871.5049743652344,1008.6061584472657
2024-03-28 00:00:00-04:00,787.0450012207032,879.693603515625,990.8250854492188
2024-03-29 00:00:00-04:00,772.30546875,857.4673461914062,1006.5005187988281
2024-03-30 00:00:00-04:00,777.920556640625,852.7880859375,978.1911804199219
2024-03-31 00:00:00-04:00,790.3204956054688,844.5994873046875,973.7459350585938
2024-04-01 00:00:00-04:00,763.6489501953125,856.2975158691406,976.3195007324218
2024-04-02 00:00:00-04:00,753.8225646972656,863.3163452148438,999.24775390625
2024-04-03 00:00:00-04:00,780.2601318359375,875.014404296875,990.8250854492188
2024-04-04 00:00:00-04:00,744.6980529785156,872.6747741699219,1002.2892395019531
2024-04-05 00:00:00-04:00,750.547119140625,869.1653747558594,987.0817260742188
2024-04-06 00:00:00-04:00,719.8981872558594,873.8446044921875,992.930731201172
2024-04-07 00:00:00-04:00,733.467919921875,851.6182861328125,986.8477661132813
2024-04-08 00:00:00-04:00,739.0829528808594,849.2787170410156,1001.3533935546875
2024-04-09 00:00:00-04:00,732.7660339355468,852.7881164550781,1004.6288391113281
2024-04-10 00:00:00-04:00,717.5585876464844,849.2787170410156,1003.9269653320313
2024-04-11 00:00:00-04:00,696.9700500488282,844.5994873046875,1001.1194396972656
2024-04-12 00:00:00-04:00,665.8531616210937,838.7504577636719,1025.6853515625
2024-04-13 00:00:00-04:00,689.9512023925781,855.1277160644531,1027.089111328125
2024-04-14 00:00:00-04:00,676.6154296875,852.7881164550781,1006.0326049804688
